장소명,lat,lon,힐링스팟자치구,대표자치구,카테고리,대분류,도로명주소,주소,전화번호,플레이스URL,데이터출처,장소_스트레스분류,장소_해결태그,힐링점수,평균힐링점수,매칭가능_기본태그,매칭가능_스트레스분류,매칭가능_cluster_label_alt,추천_크롤링태그,매칭가능여부,매칭키워드수
개웅산숲산책길,37.48620310082056,126.84591438238208,구로구,구로구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/26563561,카카오,환경|교통,서울숲|산책하기 좋은 곳,100.0,99.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|산책,True,2
경의선숲길,37.5462426746628,126.943148698793,마포구,마포구,여행 > 공원,여행,,,,http://place.map.kakao.com/1524861109,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
경의선숲길,37.558803479324,126.925338455597,마포구,마포구,여행 > 공원,여행,,,02-719-8830,http://place.map.kakao.com/1158487374,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
경의선숲길,37.5616023398319,126.923099173686,마포구,마포구,여행 > 공원,여행,,,,http://place.map.kakao.com/27388917,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
경의선숲길,37.5619568,126.9229824,마포구,마포구,"여행,명소>거리,골목","여행,명소",서울특별시 마포구 연남동,,,,네이버,환경|교통,공원,100.0,99.5,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
경의선숲길공원,37.53939454468178,126.95930819292111,용산구,용산구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/27455973,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
고봉당 용산점,37.5329114,126.9719162,용산구,용산구,음식점>한식,음식점,서울특별시 용산구 한강대로54길 3 1층,,,,네이버,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
공암나루근린공원,37.5700828,126.8504438,강서구,강서구,"여행,명소>근린공원","여행,명소",서울특별시 강서구 강서로80길 117,,,,네이버,환경|교통,산책로,100.0,99.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
광나루 한강공원,37.5583387,127.1245699,강동구,강동구,"여행,명소>시민공원","여행,명소",서울특별시 강동구 암사동 659-1,,,http://hangang.seoul.go.kr/archives/46585,네이버,환경|교통,한강공원,100.0,99.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광나루 한강공원 수영장,37.54833856267232,127.12117449959428,강동구,강동구,"스포츠,레저 > 수영,수상 > 수영장","스포츠,레저",,,02-470-9561,http://place.map.kakao.com/17556412,카카오,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광나루 한강공원 수영장,37.5485167,127.1213374,강동구,강동구,"스포츠,오락>수영장","스포츠,오락",서울특별시 강동구 올림픽로89길 39,,,https://hangang.seoul.go.kr/www/contents/774.do?mid=505,네이버,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광나루한강공원,37.54413379806722,127.1183161576554,강동구,강동구,여행 > 공원,여행,,,,http://place.map.kakao.com/17384968,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광나루한강공원,37.5460321,127.1190832,강동구,강동구,"여행,명소>시민공원","여행,명소",서울특별시 강동구,,,,네이버,환경|교통,한강공원,100.0,99.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광나루한강공원 BMX경기장,37.543769179452944,127.11803042921376,강동구,강동구,"스포츠,레저 > 스포츠시설","스포츠,레저",,,,http://place.map.kakao.com/17558012,카카오,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광나루한강공원 광나루야구장,37.5385544131249,127.11320664025,송파구,송파구,"스포츠,레저 > 야구 > 야구장","스포츠,레저",,,02-3780-0833,http://place.map.kakao.com/24025018,카카오,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광나루한강공원 농구장2,37.5372687761477,127.112168280927,송파구,송파구,"스포츠,레저 > 농구 > 농구장","스포츠,레저",,,,http://place.map.kakao.com/27597298,카카오,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광나루한강공원 인라인스케이트장,37.5431634037609,127.117432017253,강동구,강동구,"스포츠,레저 > 스케이트 > 인라인스케이트장","스포츠,레저",,,,http://place.map.kakao.com/17343785,카카오,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광나루한강공원 족구장,37.55325248633174,127.12303165256566,강동구,강동구,"스포츠,레저 > 스포츠시설","스포츠,레저",,,,http://place.map.kakao.com/25978091,카카오,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광나루한강공원 축구장,37.55113414524,127.122256373042,강동구,강동구,"스포츠,레저 > 축구 > 축구장","스포츠,레저",,,02-3780-0501,http://place.map.kakao.com/17558011,카카오,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광나루한강공원 축구장3,37.540663825082,127.115816827377,송파구,송파구,"스포츠,레저 > 축구 > 축구장","스포츠,레저",,,02-3780-0836,http://place.map.kakao.com/26864896,카카오,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광나루한강공원 피클볼장,37.5523239609531,127.122644221381,강동구,강동구,"스포츠,레저 > 스포츠시설","스포츠,레저",,,,http://place.map.kakao.com/916038744,카카오,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광나루한강공원암사생태공원,37.5543582,127.12195,강동구,강동구,"여행,명소>자연,생태공원","여행,명소",서울특별시 강동구 암사동 616-1,,,,네이버,환경|교통,한강공원,100.0,99.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
광진숲나루,37.54747214669669,127.09744318363067,광진구,광진구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/791379400,카카오,환경,공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
광진숲나루,37.5477194,127.0965343,광진구,광진구,"여행,명소>근린공원","여행,명소",,,,,네이버,환경,숲,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
구리한강시민공원들꽃동산,37.5682185,127.1227562,중랑구,중랑구,"도시,테마공원>부속시설","도시,테마공원",,,,,네이버,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
길마중초록숲길,37.4839835,127.0282779,서초구,서초구,"여행,명소>산책로","여행,명소",서울특별시 서초구,,,,네이버,환경|교통|소음,산책로|산책코스,100.0,99.0,환경취약|소음취약|교통취약,환경|소음|교통|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|산책,True,2
낙성대숲속공원,37.4684214860134,126.962149006133,관악구,관악구,여행 > 공원,여행,,,,http://place.map.kakao.com/817886881,카카오,환경,서울숲,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
난지 한강공원,37.5672573,126.8744074,마포구,마포구,"여행,명소>시민공원","여행,명소",서울특별시 마포구 한강난지로 162 한강공원 난지안내센터,,,http://hangang.seoul.go.kr/archives/46777,네이버,환경|교통,공원,100.0,99.0,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
난지 한강공원 물놀이장,37.5640488814972,126.8793478804,강서구,강서구,"스포츠,레저 > 수영,수상 > 수영장","스포츠,레저",,,070-7715-3933,http://place.map.kakao.com/13086828,카카오,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
난지수변생태학습센터,37.5724642,126.8690274,마포구,마포구,자연공원>부속시설,자연공원,서울특별시 마포구 마포나루길 83 난지한강공원 수변생태학습센터,,,https://cafe.naver.com/nanjiwetland,네이버,환경,생태공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
난지캠핑장,37.5698219,126.8721452,마포구,마포구,"숙박>캠핑,야영장",숙박,서울특별시 마포구 한강난지로 28,,,https://yeyak.seoul.go.kr,네이버,환경,한강공원,100.0,100.0,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
