장소_해결태그,장소명,lat,lon,힐링스팟자치구,카테고리,대분류,도로명주소,주소,전화번호,플레이스URL,데이터출처,장소_스트레스분류,매칭가능_기본태그,매칭가능_스트레스분류,매칭가능_cluster_label_alt,추천_크롤링태그,매칭가능여부,매칭키워드수
숲,청계숲양대창 강남직영점,37.4922236,127.0308035,강남구,"한식>곱창,막창,양",한식,서울특별시 강남구 강남대로 324 역삼디오슈페리움 1층,,,https://www.instagram.com/cheonggye_forest/,네이버,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲,True,1
쉼터,율현공원 책쉼터,37.4746397,127.1150605,강남구,"교육,학문>도서관","교육,학문",서울특별시 강남구 밤고개로21길 85,,,https://blog.naver.com/yellowmoon719,네이버,안전,안전취약,안전|교통|환경,안전+교통 취약형|환경+안전 취약형,쉼터|도서관|공원,True,3
자연 공원,뚝섬한강공원 자연학습장,37.527738275121806,127.07552657264472,강남구,"교육,학문 > 교육단체 > 체험학습장","교육,학문",,,,http://place.map.kakao.com/17557136,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
조용한 카페,SADDLER HAUS,37.5193887,127.0249425,강남구,"카페,디저트>와플","카페,디저트",서울특별시 강남구 도산대로17길 10 B1 새들러하우스,서울특별시 강남구 신사동 561-8 B1 새들러하우스,0507-1436-8521,https://www.instagram.com/saddlerhaus_bakery,네이버,교통|소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,조용한 카페,True,1
한강공원,잠원한강공원자전거대여소,37.5265516,127.0175299,강남구,"임대,대여>자전거","임대,대여",서울특별시 강남구 올림픽대로 2395,,02-3780-0511,http://place.map.kakao.com/10952965,네이버,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|한강|자전거,True,3
한강공원|산책하기 좋은 곳,뚝섬한강공원,37.5292974433415,127.06892112991,강남구,여행 > 공원 > 도시근린공원,여행,,,02-3780-0521,http://place.map.kakao.com/8136085,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책|한강,True,3
공원,광나루한강공원,37.54413379806722,127.1183161576554,강동구,여행 > 공원,여행,서울특별시 강동구 성안로 14 1층 갓잇,,02-3780-0501,http://place.map.kakao.com/17384968,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
공원|산책하기 좋은 곳,길동생태공원,37.54081566319114,127.15541883551022,강동구,여행 > 공원 > 도시근린공원,여행,서울 강동구 올림픽로 702,,02-472-2770,http://place.map.kakao.com/8229674,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
도서관,북카페도서관 다독다독 굽은다리역점,37.5436809314387,127.142488850027,강동구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 강동구 양재대로 1548,,070-4289-1330,http://place.map.kakao.com/1386344528,카카오,소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|역,True,2
도서관|서울숲,강동숲속도서관,37.55121811692662,127.16376725035852,강동구,"교육,학문 > 학습시설 > 도서관 > 국공립도서관","교육,학문",서울 강동구 구천면로 587,,02-428-1711,http://place.map.kakao.com/737989211,카카오,소음|환경,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
도시숲,숲과도시,37.5339306,127.137696,강동구,"서비스,산업>기업","서비스,산업",서울특별시 강동구 천호대로 1138,,,https://booking.naver.com/,네이버,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲,True,1
복합문화공간,천호근린공원 야외무대,37.5443722124867,127.126477384649,강동구,"문화,예술 > 문화시설 > 공연장,연극극장","문화,예술",서울 강동구 동남로 870,,02-440-0500,http://place.map.kakao.com/588826282,카카오,안전,,안전|교통|환경,안전+교통 취약형|환경+안전 취약형,공원,True,1
북카페,커피랑도서관 올림픽공원점,37.5256061135049,127.129859904788,강동구,음식점 > 카페 > 테마카페 > 북카페 > 커피랑도서관,음식점,서울 강동구 성안로 22,,02-579-1588,http://place.map.kakao.com/62780928,카카오,소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|공원,True,2
산,일자산허브천문공원,37.5372715,127.1533951,강동구,"여행,명소>테마공원","여행,명소",,,,http://cafe.daum.net/herbparks/,네이버,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
산책하기 좋은 곳,서울둘레길 6코스 한강을 따라 펼쳐지는 역사길,37.56115706317155,127.13208335774334,강동구,"여행 > 관광,명소 > 도보여행 > 둘레길 > 서울둘레길",여행,,,02-779-7902,http://place.map.kakao.com/26558422,카카오,교통,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,산책|역|한강,True,3
생태공원,길동생태공원 길동생태문화센터,37.5382623104054,127.154672421185,강동구,"교육,학문 > 문화센터","교육,학문",서울 강동구 천호대로 1298,,,http://place.map.kakao.com/17557340,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
서울숲,하성운과 늘함께숲,37.5440536118533,127.117410782365,강동구,여행 > 공원 > 도시근린공원,여행,서울 강동구 선사로 200-46,,010-6625-9292,http://place.map.kakao.com/1917166029,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
서울숲|산책하기 좋은 곳,서울테마산책길 일자산 치유의 숲길,37.53100750942072,127.1518561835492,강동구,"여행 > 관광,명소 > 도보여행",여행,,,02-779-7901,http://place.map.kakao.com/245237443,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|산책,True,2
수변공원,광나루 한강변 드론공원,37.5473641,127.1199238,강동구,"여행,명소>도시,테마공원","여행,명소",서울특별시 강동구,서울특별시 강동구 천호동 351-1,,,네이버,교통,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|한강,True,2
숲|도서관,강동숲속도서관,37.5512765,127.163859,강동구,"교육,학문>도서관","교육,학문",서울특별시 강동구 구천면로 587 강동숲속도서관,,,https://www.gdlibrary.or.kr/portal/main,네이버,환경|소음,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
조용한 카페,스타벅스 길동역점,37.5387016,127.1401394,강동구,"카페,디저트>카페","카페,디저트",서울특별시 강동구 양재대로 1487 (길동),서울특별시 강동구 길동 378-3,,http://www.starbucks.co.kr/,네이버,교통|소음,소음취약|교통취약,소음|교통|안전|환경,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형,조용한 카페|역,True,2
조용히,카페인24 암사역사공원역점,37.5562942,127.1378106,강동구,"카페,디저트>카페","카페,디저트",서울특별시 강동구 고덕로27길 33 1층,,,,네이버,소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,공원|역,True,2
한강,강동아트센터 대극장 한강,37.551068,127.157636,강동구,"문화,예술>공연장","문화,예술",서울특별시 강동구 동남로 870 강동아트센터,,,,네이버,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,한강,True,1
한강공원,광나루 한강공원,37.5583387,127.1245699,강동구,"여행,명소>시민공원","여행,명소",서울특별시 강동구 암사동 659-1,,02-470-9561,http://hangang.seoul.go.kr/archives/46585,네이버,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
공원,북한산체험형숲속쉼터,37.63571571910313,127.0060952704772,강북구,여행 > 공원,여행,서울특별시 강북구 월계로 173,,02-901-6698,http://place.map.kakao.com/385130715,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|쉼터,True,3
공원|산책하기 좋은 곳,북서울꿈의숲,37.62360650548208,127.04157251496886,강북구,여행 > 공원 > 도시근린공원,여행,서울 강북구 월계로 173,,02-2289-4000,http://place.map.kakao.com/11321061,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|산책,True,3
도서관,꿈의숲롯데캐슬아파트작은도서관,37.6172447673744,127.035650774508,강북구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 강북구 오현로 56,,02-985-6031,http://place.map.kakao.com/1395936186,카카오,소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|숲,True,2
미술관,북서울꿈의숲 상상톡톡미술관,37.6224924,127.0412714,강북구,"문화,예술>미술관","문화,예술",서울특별시 강북구 월계로 173 북서울꿈의숲공원 상상톡톡미술관,,,https://www.sejongpac.or.kr/dfac,네이버,소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,공원|숲,True,2
복합문화공간,꿈의숲아트센터,37.62147398170501,127.038586574221,강북구,"문화,예술 > 문화시설 > 공연장,연극극장","문화,예술",서울 강북구 월계로 173,,02-399-1000,http://place.map.kakao.com/11696074,카카오,안전,,환경|안전,환경+안전 취약형,숲,True,1
북카페,놀숲 수유점,37.6380721793359,127.024173382375,강북구,"가정,생활 > 여가시설 > 만화방 > 만화카페 > 놀숲","가정,생활",서울 강북구 노해로8길 22,,070-4400-4321,http://place.map.kakao.com/1918620302,카카오,소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,숲,True,1
산|조용한 카페,카페 산아래,37.6667756,127.0106168,강북구,"카페,디저트>카페","카페,디저트",서울특별시 강북구 삼양로181길 56 102호,,,http://instagram.com/cafe_sanare,네이버,환경|교통|소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,조용한 카페,True,1
산책 공원|산책하기 좋은 곳,서울테마산책길 둘리쌍문근린공원 산책로,37.65392192603808,127.02586929336096,강북구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/861483882,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
산책로|산책코스,북한산둘레길1구간(소나무숲길),37.6589409,127.0088843,강북구,"여행,명소>도보코스","여행,명소",서울특별시 강북구 우이동 산42,,,,네이버,환경|교통|소음,환경취약|소음취약|교통취약,환경|소음|교통|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|산책,True,2
산책하기 좋은 곳,북서울꿈의숲나들길,37.62141155643988,127.03656461402684,강북구,"여행 > 관광,명소 > 도보여행",여행,,,02-900-8085,http://place.map.kakao.com/26563592,카카오,교통,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,산책|숲,True,2
생태공원,삼각산도시자연공원,37.6204341,127.0087946,강북구,"여행,명소>자연,생태공원","여행,명소",,,,,네이버,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
생태공원|산책하기 좋은 곳,발바닥공원,37.6596867039654,127.032013855648,강북구,여행 > 공원 > 도시근린공원,여행,,,,http://place.map.kakao.com/7888168,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
서울숲,북서울꿈의숲 정원문화힐링센터,37.6214199298651,127.038563891627,강북구,"교육,학문 > 문화센터","교육,학문",서울 강북구 월계로 173,,,http://place.map.kakao.com/945594872,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲|정원,True,2
수목원,북서울꿈의숲계절수목원,37.6218609,127.0433299,강북구,"도시,테마공원>부속시설","도시,테마공원",서울특별시 강북구,,,,네이버,소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,공원|숲,True,2
숲,투썸플레이스 북서울꿈의숲점,37.6205364,127.0449888,강북구,"카페,디저트>카페","카페,디저트",서울특별시 강북구 월계로 183 1층 투썸플레이스,,,,네이버,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲,True,1
쉼터,북한산체험형숲속쉼터,37.6357324,127.00612,강북구,"레져,체육시설>공원","레져,체육시설",서울특별시 강북구 삼양로20길 27,,,,네이버,안전,안전취약,안전|교통|환경,안전+교통 취약형|환경+안전 취약형,쉼터|공원|숲,True,3
자연 공원,북한산도시자연공원유아숲체험원,37.6210817541535,127.008413902035,강북구,"교육,학문 > 교육단체 > 체험학습장","교육,학문",,,02-901-6927,http://place.map.kakao.com/1556853108,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
조용한 카페,스타벅스 수유역점,37.6380639,127.0260631,강북구,"카페,디저트>카페","카페,디저트",서울특별시 강북구 도봉로 342 (번동),서울특별시 강북구 번동 418-17,,http://www.starbucks.co.kr/,네이버,교통|소음,소음취약|교통취약,소음|교통|안전|환경,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형,조용한 카페|역,True,2
공원,서울식물원 열린숲정원,37.5648699697948,126.831717248636,강서구,여행 > 공원,여행,서울 강서구 마곡동로 161,,02-2600-4185,http://place.map.kakao.com/596563010,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|정원,True,3
공원|산책하기 좋은 곳,강서습지생태공원,37.58581442410638,126.8183170399195,강서구,여행 > 공원 > 도시근린공원,여행,서울 강서구 마곡중앙로 11,,02-3780-0621,http://place.map.kakao.com/8631074,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
도서관,봉제산책쉼터도서관,37.54248874515874,126.85224498385428,강서구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 강서구 초록마을로15길 33,,02-2600-4294,http://place.map.kakao.com/2001266226,카카오,소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|산책,True,2
도서관|서울숲,우장산숲속도서관,37.5483057178016,126.841907428457,강서구,"교육,학문 > 학습시설 > 도서관 > 국공립도서관","교육,학문",서울 강서구 우현로 34,,02-2696-6689,http://place.map.kakao.com/19286010,카카오,소음|환경,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
북카페,놀숲 마곡발산점,37.56013550392,126.837699291529,강서구,"가정,생활 > 여가시설 > 만화방 > 만화카페 > 놀숲","가정,생활",서울 강서구 마곡중앙6로 93,,02-2694-4455,http://place.map.kakao.com/716146150,카카오,소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,숲,True,1
산책 공원|산책하기 좋은 곳,달마을근린공원 산책길,37.53637663743479,126.87175296368947,강서구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/26563563,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
산책로,공암나루근린공원,37.5700828,126.8504438,강서구,"여행,명소>근린공원","여행,명소",서울특별시 강서구 강서로80길 117,,,,네이버,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
산책로|산책코스,강서둘레길1코스(개화산숲길),37.5823728,126.8074532,강서구,"여행,명소>도보코스","여행,명소",서울특별시 강서구 개화동 산83-3,,,,네이버,환경|교통|소음,환경취약|소음취약|교통취약,환경|소음|교통|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|산책,True,2
산책코스,강서둘레길2코스(공원길),37.5794001,126.8185437,강서구,"여행,명소>도보코스","여행,명소",,,,,네이버,환경|소음,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
산책코스|둘레길,강서둘레길3코스(강서한강길),37.5894192,126.8107361,강서구,"여행,명소>도보코스","여행,명소",서울특별시 강서구 개화동 268,,,,네이버,환경|교통|소음,환경취약|소음취약|교통취약,환경|소음|교통|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,산책|한강,True,2
산책하기 좋은 곳,강서둘레길 2코스(공원길),37.57932739770858,126.81839393678544,강서구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/26558420,카카오,교통,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,공원|산책,True,2
생태공원,강서 한강공원강서습지생태공원입구,37.5886257,126.8124333,강서구,도로시설>방면정보,도로시설,,,02-2236-9134,http://place.map.kakao.com/578678096,네이버,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|한강,True,2
서울숲,하늘숲정원,37.5662319868047,126.803534520836,강서구,여행 > 공원,여행,서울 강서구 강서로 471,,02-2104-9788,http://place.map.kakao.com/17419435,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲|정원,True,3
숲,"눈내리는 숲, 설래임 강서NC점",37.5599572,126.8405062,강서구,"음식점>카페,디저트",음식점,서울특별시 강서구 강서로56길 17 9층,,,https://100원커피이벤트-선착순주문하기.com,네이버,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲,True,1
쉼터,봉제산책쉼터,37.542522,126.8522231,강서구,"교육,학문>도서관","교육,학문",서울특별시 강서구 초록마을로15길 33 2층 봉제산책쉼터,,,https://www.facebook.com/gdllibrary/,네이버,안전,안전취약,안전|교통|환경,안전+교통 취약형|환경+안전 취약형,쉼터|도서관|산책,True,3
한강공원,강서한강공원자전거대여소,37.5850931,126.820422,강서구,"임대,대여>자전거","임대,대여",서울특별시 강서구,,070-7715-3933,http://hangang.seoul.go.kr/archives/46788,네이버,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|한강|자전거,True,3
한강공원|산책하기 좋은 곳,난지한강공원,37.5670399093241,126.875607758973,강서구,여행 > 공원 > 도시근린공원,여행,,,02-3780-0611,http://place.map.kakao.com/8126938,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책|한강,True,3
힐링카페|서울숲,용왕산공원 숲속카페,37.5429619931904,126.876783844794,강서구|양천구,음식점 > 카페,음식점,,,02-2620-3574,http://place.map.kakao.com/694410207,카카오,소음|환경,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
공원,새숲어린이공원,37.4823972876784,126.913104243671,관악구,여행 > 공원 > 도시근린공원,여행,서울 관악구 광신길 142,,02-879-5000,http://place.map.kakao.com/10508519,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
공원|산책하기 좋은 곳,관악산생태공원,37.46820223618535,126.91358866950686,관악구,여행 > 공원 > 도시근린공원,여행,서울 관악구 낙성대로 77,,02-879-6524,http://place.map.kakao.com/12630930,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
느좋|공원,CODE101,37.4901499,126.9274011,관악구,"카페,디저트>카페","카페,디저트",서울특별시 관악구 보라매로 7 1층 CODE101,,,https://inflow.pay.naver.com/rd?tr=ds&retUrl=https%3A%2F%2Fm.smartstore.naver.com%2Fcode101_&pType=M&no=&vcode=5nr37hTMbR0M2dOdVUu0tawrqK5gKr3O9B3PLWHPu0nRtiZLcE7yRZCiKFTDQh4ovPZA%2FT4e%2FKgvp7dQ4svXHpSyiayj6wew3%2BaCyVH1kpE%3D,네이버,안전|교통,교통취약,교통|소음|안전|환경,소음+교통 취약형|안전+교통 취약형|환경+안전 취약형,공원,True,1
도서관,낙성대공원도서관,37.4719741555524,126.959388858737,관악구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 관악구 낙성대로 77,,02-872-5576,http://place.map.kakao.com/13561940,카카오,소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,도서관|공원,True,2
도서관|서울숲,그림숲그림책작은도서관,37.4780526298136,126.946474513911,관악구,"교육,학문 > 학습시설 > 도서관 > 작은도서관","교육,학문",서울 관악구 청룡9길 12-39,,02-883-4041,http://place.map.kakao.com/21851128,카카오,소음|환경,환경취약|소음취약,환경|소음|교통|안전,소음+교통 취약형|환경+소음 취약형|환경+안전 취약형,숲|도서관,True,2
복합문화공간,낙성대공원 전통야외소극장,37.4711742743287,126.960022350053,관악구,"문화,예술 > 문화시설 > 공연장,연극극장","문화,예술",서울 관악구 낙성대로 77,,,http://place.map.kakao.com/17980225,카카오,안전,,안전|교통|환경,안전+교통 취약형|환경+안전 취약형,공원,True,1
북카페,놀숲 신림역점,37.48297402639604,126.92947410167815,관악구,"가정,생활 > 여가시설 > 만화방 > 만화카페 > 놀숲","가정,생활",서울 관악구 신림로 321,,02-877-5545,http://place.map.kakao.com/1101338749,카카오,소음,소음취약,소음|교통|환경,소음+교통 취약형|환경+소음 취약형,숲|역,True,2
산책 공원|산책하기 좋은 곳,보라매공원산책길,37.49071663570404,126.91996508015704,관악구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/26563550,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|산책,True,2
산책하기 좋은 곳,동작충효길 3코스(한강나들길),37.511313083643046,126.96224498828576,관악구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/26558412,카카오,교통,교통취약,교통|소음|안전,소음+교통 취약형|안전+교통 취약형,산책|한강,True,2
생태공원,관악산생태공원 족구장,37.467758069662,126.913632136334,관악구,"스포츠,레저 > 스포츠시설 > 운동장","스포츠,레저",서울특별시 관악구 문성로16다길 133-71,,,http://place.map.kakao.com/1348343756,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원,True,1
생태공원|숲길,관악산생태공원,37.4687074,126.9133974,관악구,"여행,명소>자연,생태공원","여행,명소",서울특별시 관악구 문성로16다길 133-17,,,,네이버,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
서울숲,낙성대숲속공원,37.4684214860134,126.962149006133,관악구,여행 > 공원,여행,서울 관악구 관악로40길 39,,02-876-4090,http://place.map.kakao.com/817886881,카카오,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,공원|숲,True,2
서울숲|산책하기 좋은 곳,관악산공원 무장애숲길 무장애탐방구간,37.45487201075443,126.94780660943904,관악구,"여행 > 관광,명소 > 도보여행",여행,,,,http://place.map.kakao.com/26564369,카카오,환경|교통,환경취약|교통취약,환경|교통|소음|안전,소음+교통 취약형|안전+교통 취약형|환경+소음 취약형|환경+안전 취약형,공원|숲|산책,True,3
숲,책상숲 스터디카페 낙성대점,37.4721951,126.9670056,관악구,"서비스,산업>장소대여","서비스,산업","서울특별시 관악구 인헌길 77 3층, 4층, 5층",,,https://www.instagram.com/deskforest,네이버,환경,환경취약,환경|소음|안전,환경+소음 취약형|환경+안전 취약형,숲,True,1
